Book ID,Original Title,Original_Title_VIAF-URI,Original_Title_Wikidata-URI,Instance of Work,Instance_of_Work_Wikidata,Author,Author_VIAF_URI,Author_Wikidata_URI,Background of Indigenous Author,Source Background for Indigenous Author,FirstNation_band_Author_Wikidata_URI,IndigenousGroup_Indigenous_Author_Wikidata_URI,Ethnic_Group_Indigenous_Author_Wikidata_URI,Ethnic_Group_non-Indigenous_Author,Ethnic_Group_non-Indigenous_Author_Wikidata_URI,Source Background for non-Indigenous Author,Contributor,Contributor_VIAF_URI,Contributor_Wikidata_URI,Publisher,Publisher_VIAF_URI,Publisher_Wikidata_URI,Year Published,Subject Heading,Xwi7xwa Classification System,Language,ISBN-13
Book018,Medicine Unbundled a Journey Through the Minefields of Indigenous Health Care,,,,,"Geddes, Gary",,Gary Geddes,,,,,,Canadians,Canadians,Per bio on writersunion.ca/member/gary-geddes,,,,Canadian Heritage Publications,Canadian Heritage Publications,,2017,"History - Canada; Health; Development, Law, Governance; Rights & Title",CA-CG; S; F-K; M,en,9781772031645
Book019,Impressoes de leitura do texto literario ,,,,,"Grauna, Graca","Graúna, Graça",,Potiguara people,Potiguara of Brazil (per latinamericanliteraturetoday.org/lal_author/graca-grauna),,,Potiguara people,,,,,,,Companhia das Letras ,,Companhia das Letras,2016,Arts; Worldview; Knowledge Keeping; Education; Potiguara; Brazil,W; T; P; E,pt,9788543810218
,,,,,,,,,Tupí people,Tupí speaking tribe of Brazil (per latinamericanliteraturetoday.org/lal_author/graca-grauna) ,,,Tupí people,,,,,,,,,,,,,,
Book020,"Alfabeto mazateco: Variantes dialectales de San Pedro Ixcatlan, San Miguel Soyaltepec, Jalapa de Diaz y San Jose Independencia",,,,,"Gregorio Regino, Juan","Regino, Juan Gregorio, 1962-...",,Mazatec people,Mazatec (per jstor.org.libdata.lib.ua.edu/stable/4139050),,,Mazatec people,,,,,,,Instituto Oaxaqueño de las Culturas,Instituto Oaxaqueño de las Culturas,,1993,Languages (Mazatec); Worldview; Knowledge Keeping (Mazatec),X; T; P,es,9686951067
Book021,Medicine Wheel for the Planet: A Journey toward Personal and Ecological Healing,,,,,"Grenz, Jennifer","Grenz, Jennifer",,Nlaka'pamux,Nlaka‘pamux woman of mixed ancestry (per forestry.ubc.ca/faculty-profile/jennifer-grenz),,,Nlaka'pamux,,,,,,,University of Minnesota Press,,University of Minnesota Press,2024,Interior Salish; Nlaka'pamux (Thompson); History - Canada,BK; BKN; CA-CG,en,9781517916466
,,,,,,,,,Lytton First Nation,Family comes from the Lytton First Nation (she grew up on the coast of BC) (per forestry.ubc.ca/faculty-profile/jennifer-grenz),Lytton First Nation,,,,,,,,,,,,,,,,
Book022,Poet Warrior,,,,,"Harjo, Joy ","Harjo, Joy",,Mvskoke Nation,"Citizen of the Mvskoke Nation (per womenshistory.org/education-resources/biographies/joy-harjo). This entry utilizes the Muscogee [(Creek) Nation] Wikidata URI to provide linked data connectivity. The wd:URI includes the updated term ""Mvskoke,"" under the heading. The literal string is maintained to ensure alignment of Mvskoke Nation with the author’s indigeneity (per womenshistory.org).",,,Muscogee (Creek) Nation,,,,,,,W. W. Norton & Company American publishing company,,W. W. Norton & Company,2021,Arts; Literature; Worldview; Knowledge Keeping; Women,W; Y; T; P; PW,en,9781324022015
,,,,,,,,,Oce Vpofv,"Belongs to Oce Vpofv (Hickory Ground). This entry employs the Hickory Ground wd:URI for linked data connectivity. Although the Wikidata entry includes accurate phonetic updates (e.g., Otciapofa, Oce Vpofa), the specific term Oce Vpofv is maintained as a literal to preserve the precise orthography and indigeneity of the bio record where an exact URI match for Oce Vpofv is unavailable. Additionally, there are similar sub terms under the heading in the Hickory Ground wd entry (womenshistory.org/education-resources/biographies/joy-harjo).",,Hickory Ground,,,,,,,,,,,,,,,
,,,,,,,,,Monahwee,Seventh-generation Monahwee (per womenshistory.org/education-resources/biographies/joy-harjo),,,,,,,,,,,,,,,,,
Book023,Growing Papaya Trees: Nurturing Indigenous Roots During Climate Displacement,,,,,"Hernandez, Jessica, 1990-","Hernandez, Jessica, 1990-",,Zapotec,"Binniza; Zapotec; Maya Ch'orti (per jessicabhernandez.com) This entry employs the Zapotec wd:URI (e.g., Q13317) to provide linked data connectivity for both ""Zapotec"" and the Spanish endonym Binnizá. The Wikidata entry includes a wide array of linguistic and phonetic variants (e.g., Be'ena'a, Ben 'Zaa, Didxazá, Za), the specific term Binnizá is maintained as a literal to ensure alignment with the author’s self-identification. This approach preserves the precise indigeneity of the biographical record where a exact URI match for the primary endonym is unavailable.",,,Zapotec,,,,,,,Michigan State University Press,,Michigan State University Press,2025,Knowledge Keeping; Indigenous Central American; Zapotec,P,en,9798889840978
,,,,,,,,,Chortis,Maya Ch'orti (per jessicabhernandez.com) This entry employs the Chortis wd:URI to provide linked data connectivity. The subheading Chʼortiʼ Maya is included in the wd:URI.,,,Chortis,,,,,,,,,,,,,,
